"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","61","54","0","2018","1","",7,238,251,248,2864862,0,0,897,"",3.60,1.49,1.56,1.54,1.18,0.00,0.00,0.77,"",1,16.7,-5,-2.1,13,5.5,7,2.9,136260,5.0,0,0.0,0,0.0,25,2.9
"01000","2","61","54","0","2018","1","",160,44482,46470,46661,665666566,0,0,1116,"",1.60,1.71,1.71,1.71,1.99,0.00,0.00,1.16,"",0,0.0,151,0.3,463,1.0,306,0.7,25893733,4.0,0,0.0,0,0.0,36,3.3
"01000","3","61","54","0","2018","1","",1883,97274,97552,98323,956095445,0,0,753,"",2.25,0.90,0.89,0.89,0.94,0.00,0.00,1.05,"",3,0.2,155,0.2,-49,-0.1,184,0.2,6885727,0.7,0,0.0,0,0.0,5,0.7
"01000","5","61","54","0","2018","1","",1033,18583,20273,19013,165330689,66119352,880149,659,"",0.67,0.49,0.51,0.48,0.43,0.73,0.78,0.87,"",34,3.4,319,1.7,157,0.8,26,0.1,-884358,-0.5,694842,1.1,-68897,-7.3,-10,-1.5
"01001","2","61","74","0","2018","1","N",1,0,0,0,0,0,0,0,"N",1.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","61","74","0","2018","1","N",18,0,0,0,0,0,0,0,"N",3.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","61","74","0","2018","1","",9,184,186,187,1182992,600997,4014,490,"",0.85,0.85,0.83,0.83,0.65,1.39,0.73,0.78,"",-1,-10.0,34,22.7,34,22.4,25,15.4,229959,24.1,132407,28.3,-1391,-25.7,16,3.4
"01003","2","61","74","0","2018","1","",4,331,458,453,3853989,0,0,716,"",0.81,0.35,0.46,0.44,0.42,0.00,0.00,1.00,"",0,0.0,-102,-23.6,133,40.9,20,4.6,214478,5.9,0,0.0,0,0.0,11,1.6
"01003","3","61","74","0","2018","1","N",48,0,0,0,0,0,0,0,"N",1.16,0,0,0,0,0,0,0,"N",-1,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","61","74","0","2018","1","",52,966,992,1022,9144663,5960695,58943,708,"",0.69,0.71,0.68,0.68,0.87,1.87,1.71,1.25,"",4,8.3,-9,-0.9,-25,-2.5,53,5.5,312544,3.5,551820,10.2,7770,15.2,20,2.9
